Timestamp	id #	OutputFilename	AttenuationR	BBNlowerFreqR	BBNupperFreqR	AmplitudeR	TimeShiftR	RampUpR	HoldTimeR	RampDownR	OutputTimestampR	OutputTimeWithDelayR	FixedDelayR	PA5idR	WavFilenameR	ToneFreqR	PhaseDegR	AttenuationL	BBNlowerFreqL	BBNupperFreqL	AmplitudeL	TimeShiftL	RampUpL	HoldTimeL	RampDownL	OutputTimestampL	OutputTimeWithDelayL	FixedDelayL	PA5idL	WavFilenameL	ToneFreqL	PhaseDegL	timestamp(1)	cluster #(1)	timestamp(2)	cluster #(2)	timestamp(3)	cluster #(3)	timestamp(4)	cluster #(4)
																																	0:00:08.890	0	0:00:07.195	0	0:00:09.388	0	0:00:10.508	0
																																	0:00:09.008	0	0:00:07.213	0	0:00:09.443	0	0:00:10.508	0
																																	0:00:09.056	0	0:00:07.247	0	0:00:09.443	0	0:00:10.702	0
																																	0:00:09.309	0	0:00:07.283	0	0:00:09.465	0	0:00:10.734	0
																																	0:00:09.437	0	0:00:07.292	0	0:00:09.467	0	0:00:10.799	0
																																	0:00:09.541	0	0:00:07.503	0	0:00:09.467	0	0:00:10.820	0
																																	0:00:09.715	0	0:00:07.514	0	0:00:09.729	0	0:00:10.866	0
																																	0:00:09.733	0	0:00:07.573	0	0:00:09.729	0	0:00:11.120	0
																																	0:00:09.938	0	0:00:07.573	0	0:00:09.801	0	0:00:11.173	0
																																	0:00:09.972	0	0:00:07.590	0	0:00:09.815	0	0:00:11.231	0
																																	0:00:10.009	0	0:00:07.605	0	0:00:09.865	0	0:00:11.325	0
																																	0:00:10.094	0	0:00:07.610	0	0:00:09.928	0	0:00:11.327	0
																																	0:00:10.168	0	0:00:07.638	0	0:00:10.054	0	0:00:11.365	0
																																	0:00:10.211	0	0:00:07.723	0	0:00:10.070	0	0:00:11.377	0
																																	0:00:10.219	0	0:00:07.749	0	0:00:10.145	0	0:00:11.457	0
																																	0:00:10.261	0	0:00:07.808	0	0:00:10.194	0	0:00:11.496	0
																																	0:00:10.278	0	0:00:07.835	0	0:00:10.295	0	0:00:11.496	0
																																	0:00:10.284	0	0:00:07.941	0	0:00:10.592	0	0:00:11.560	0
																																	0:00:10.334	0	0:00:07.957	0	0:00:10.729	0	0:00:11.560	0
																																	0:00:10.385	0	0:00:07.992	0	0:00:10.757	0	0:00:11.567	0
																																	0:00:10.484	0	0:00:07.999	0	0:00:10.853	0	0:00:11.567	0
																																	0:00:10.696	0	0:00:08.017	0	0:00:10.920	0	0:00:11.630	0
																																	0:00:10.775	0	0:00:08.047	0	0:00:10.927	0	0:00:11.708	0
																																	0:00:10.779	0	0:00:08.100	0	0:00:11.074	0	0:00:11.765	0
																																	0:00:10.824	0	0:00:08.104	0	0:00:11.205	0	0:00:12.039	0
																																	0:00:10.971	0	0:00:08.109	0	0:00:11.282	0	0:00:12.073	0
																																	0:00:11.008	0	0:00:08.143	0	0:00:11.351	0	0:00:12.086	0
																																	0:00:11.042	0	0:00:08.189	0	0:00:11.570	0	0:00:12.094	0
																																	0:00:11.116	0	0:00:08.202	0	0:00:11.570	0	0:00:12.128	0
																																	0:00:11.191	0	0:00:08.213	0	0:00:11.595	0	0:00:12.168	0
																																	0:00:11.207	0	0:00:08.225	0	0:00:11.692	0	0:00:12.174	0
																																	0:00:11.254	0	0:00:08.249	0	0:00:11.732	0	0:00:12.193	0
																																	0:00:11.254	0	0:00:08.292	0	0:00:11.775	0	0:00:12.229	0
																																	0:00:11.263	0	0:00:08.547	0	0:00:11.775	0	0:00:12.278	0
																																	0:00:11.710	0	0:00:08.595	0	0:00:11.839	0	0:00:12.332	0
																																	0:00:11.730	0	0:00:08.608	0	0:00:11.839	0	0:00:12.345	0
																																	0:00:11.832	0	0:00:08.632	0	0:00:11.850	0	0:00:12.368	0
																																	0:00:11.911	0	0:00:08.709	0	0:00:12.094	0	0:00:12.368	0
																																	0:00:11.911	0	0:00:08.793	0	0:00:12.121	0	0:00:12.440	0
																																	0:00:11.935	0	0:00:08.821	0	0:00:12.223	0	0:00:12.453	0
																																	0:00:11.983	0	0:00:08.909	0	0:00:12.224	0	0:00:12.459	0
																																	0:00:12.009	0	0:00:08.944	0	0:00:12.357	0	0:00:12.566	0
																																	0:00:12.268	0	0:00:08.951	0	0:00:12.367	0	0:00:12.635	0
																																	0:00:12.456	0	0:00:09.049	0	0:00:12.472	0	0:00:12.795	0
																																	0:00:12.604	0	0:00:09.128	0	0:00:12.486	0	0:00:12.802	0
																																	0:00:12.696	0	0:00:09.143	0	0:00:12.534	0	0:00:13.066	0
																																	0:00:12.728	0	0:00:09.154	0	0:00:12.621	0	0:00:13.072	0
																																	0:00:12.756	0	0:00:09.185	0	0:00:12.623	0	0:00:13.155	0
