Timestamp	id #	OutputFilename	AttenuationR	BBNlowerFreqR	BBNupperFreqR	AmplitudeR	TimeShiftR	RampUpR	HoldTimeR	RampDownR	OutputTimestampR	OutputTimeWithDelayR	FixedDelayR	PA5idR	WavFilenameR	ToneFreqR	PhaseDegR	AttenuationL	BBNlowerFreqL	BBNupperFreqL	AmplitudeL	TimeShiftL	RampUpL	HoldTimeL	RampDownL	OutputTimestampL	OutputTimeWithDelayL	FixedDelayL	PA5idL	WavFilenameL	ToneFreqL	PhaseDegL	timestamp1	cluster1
152413499	4000		0	0	0	1000	0	0	0	0	152413499	152413499	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34841554.51	1
154423543	4000		0	0	0	1000	0	0	0	0	154423543	154423543	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34850604.51	1
156431010	4000		0	0	0	1000	0	0	0	0	156431010	156431010	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34863264.51	1
158430916	4000		0	0	0	1000	0	0	0	0	158430916	158430916	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34950422.45	1
160430926	4000		0	0	0	1000	0	0	0	0	160430926	160430926	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34953929.95	1
162430870	4000		0	0	0	1000	0	0	0	0	162430870	162430870	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34955897.45	1
164430872	4000		0	0	0	1000	0	0	0	0	164430872	164430872	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34964946.2	1
166431338	4000		0	0	0	1000	0	0	0	0	166431338	166431338	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34967674.95	1
168431190	4000		0	0	0	1000	0	0	0	0	168431190	168431190	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34970847.45	1
170431133	4000		0	0	0	1000	0	0	0	0	170431133	170431133	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34973484.95	1
172432254	4000		0	0	0	1000	0	0	0	0	172432254	172432254	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	35004359.95	1
174430404	4000		0	0	0	1000	0	0	0	0	174430404	174430404	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	35013024.95	1
176430662	4000		0	0	0	1000	0	0	0	0	176430662	176430662	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	35051424.95	1
178430816	4000		0	0	0	1000	0	0	0	0	178430816	178430816	0	1	C:\DataWave\Sounds\bat_HRstrings\high2.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	35118549.95	1
