Timestamp	id	OutputFilename	AttenuationR	BBNlowerFreqR	BBNupperFreqR	AmplitudeR	TimeShiftR	RampUpR	HoldTimeR	RampDownR	OutputTimestampR	OutputTimeWithDelayR	FixedDelayR	PA5idR	WavFilenameR	ToneFreqR	PhaseDegR	AttenuationL	BBNlowerFreqL	BBNupperFreqL	AmplitudeL	TimeShiftL	RampUpL	HoldTimeL	RampDownL	OutputTimestampL	OutputTimeWithDelayL	FixedDelayL	PA5idL	WavFilenameL	ToneFreqL	PhaseDegL	timestamp1	cluster1
71885968	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	71885968	71885968	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6664665.528	1
72886436	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	72886436	72886436	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6694634.818	1
73886301	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	73886301	73886301	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6895859.818	1
74886316	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	74886316	74886316	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6916659.818	1
75887100	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	75887100	75887100	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6962454.108	1
76886596	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	76886596	76886596	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	7053154.108	1
77886615	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	77886615	77886615	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	7242748.397	1
78886513	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	78886513	78886513	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	7401823.397	1
79886924	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	79886924	79886924	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	7584867.687	1
80885754	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	80885754	80885754	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	7693086.976	1
81885948	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	81885948	81885948	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	7723261.976	1
82886465	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	82886465	82886465	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	7739361.976	1
83886152	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	83886152	83886152	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	7774086.976	1
84886030	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	84886030	84886030	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	7863911.976	1
85886419	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	85886419	85886419	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	7984781.266	1
86886788	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	86886788	86886788	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	8058831.266	1
87886197	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	87886197	87886197	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	8153831.266	1
